name,date,price,year,month,day,stock_id,log_return
vnm,2021-02-09,100948.9,2021,2,9,5,0.025318595384754554
vnm,2021-02-17,101603.2,2021,2,17,5,0.006460582495311349
vnm,2021-02-18,101883.6,2021,2,18,5,0.0027559544646285367
vnm,2021-02-19,100948.9,2021,2,19,5,-0.009216536959939776
vnm,2021-02-22,100481.5,2021,2,22,5,-0.004640817263660725
vnm,2021-02-23,100014.2,2021,2,23,5,-0.004661455045365292
vnm,2021-02-24,98892.5,2021,2,24,5,-0.011278774329871014
vnm,2021-02-25,97770.8,2021,2,25,5,-0.01140743762401097
vnm,2021-02-26,97957.8,2021,2,26,5,0.0019108097324332175
vnm,2021-03-01,98705.6,2021,3,1,5,0.00760490873297528
vnm,2021-03-02,98051.3,2021,3,2,5,-0.006650871322550296
vnm,2021-03-03,97677.4,2021,3,3,5,-0.0038205991744430876
vnm,2021-03-04,96649.2,2021,3,4,5,-0.010582283590683845
vnm,2021-03-05,96275.3,2021,3,5,5,-0.0038761325610304313
vnm,2021-03-08,95527.5,2021,3,8,5,-0.007797631619977556
vnm,2021-03-09,93938.5,2021,3,9,5,-0.016773851317440757
vnm,2021-03-10,94499.4,2021,3,10,5,0.005953172440745119
vnm,2021-03-11,96088.4,2021,3,11,5,0.016675115821053153
vnm,2021-03-12,95527.5,2021,3,12,5,-0.005854436944357484
vnm,2021-03-15,95527.5,2021,3,15,5,0.0
vnm,2021-03-16,94405.9,2021,3,16,5,-0.011810592951475844
vnm,2021-03-17,93938.5,2021,3,17,5,-0.0049632583659648235
vnm,2021-03-18,95808.0,2021,3,18,5,0.019705875964716582
vnm,2021-03-19,95060.2,2021,3,19,5,-0.007835813679155852
vnm,2021-03-22,94218.9,2021,3,22,5,-0.008889576717914368
vnm,2021-03-23,93658.1,2021,3,23,5,-0.005969880991826087
vnm,2021-03-24,92256.0,2021,3,24,5,-0.015083595952275156
vnm,2021-03-25,92069.1,2021,3,25,5,-0.002027939375079859
vnm,2021-03-26,91040.9,2021,3,26,5,-0.011230525987255742
vnm,2021-03-29,92536.5,2021,3,29,5,0.01629430518734501
vnm,2021-03-30,92723.4,2021,3,30,5,0.002017706620893153
vnm,2021-03-31,91975.6,2021,3,31,5,-0.00809754342051024
vnm,2021-04-01,94405.9,2021,4,1,5,0.026080246717027255
vnm,2021-04-02,95994.9,2021,4,2,5,0.01669149385824208
vnm,2021-04-05,95901.4,2021,4,5,5,-0.0009744847336725267
vnm,2021-04-06,94873.2,2021,4,6,5,-0.010779317119179581
vnm,2021-04-07,93564.6,2021,4,7,5,-0.013889156386057243
vnm,2021-04-08,93377.7,2021,4,8,5,-0.0019995481201616856
vnm,2021-04-09,93284.2,2021,4,9,5,-0.0010018113800396992
vnm,2021-04-12,93471.2,2021,4,12,5,0.002002620138392226
vnm,2021-04-13,93471.2,2021,4,13,5,0.0
vnm,2021-04-14,92816.9,2021,4,14,5,-0.007024632175204319
vnm,2021-04-15,92629.9,2021,4,15,5,-0.0020167515792333854
vnm,2021-04-16,90573.6,2021,4,16,5,-0.022449203843567606
vnm,2021-04-19,89825.8,2021,4,19,5,-0.00829054069149447
vnm,2021-04-20,92816.9,2021,4,20,5,0.03275649611429535
vnm,2021-04-22,91601.8,2021,4,22,5,-0.013177813138695637
vnm,2021-04-23,93003.8,2021,4,23,5,0.015189430391518986
vnm,2021-04-26,89732.3,2021,4,26,5,-0.035809559099178954
vnm,2021-04-27,89451.9,2021,4,27,5,-0.00312974278851867
vnm,2021-04-28,87582.5,2021,4,28,5,-0.021119844350030177
vnm,2021-04-29,87395.5,2021,4,29,5,-0.0021374123740463937
vnm,2021-05-04,85619.6,2021,5,4,5,-0.020529565021545397
vnm,2021-05-05,85993.5,2021,5,5,5,0.004357483101506913
vnm,2021-05-06,83750.2,2021,5,6,5,-0.02643315323971548
vnm,2021-05-07,81319.9,2021,5,7,5,-0.02944779971242459
vnm,2021-05-10,86928.2,2021,5,10,5,0.06669173151156682
vnm,2021-05-11,85245.7,2021,5,11,5,-0.019544815552373505
vnm,2021-05-12,85806.5,2021,5,12,5,0.006557086191419529
vnm,2021-05-13,84591.4,2021,5,13,5,-0.014262154601576215
vnm,2021-05-14,83656.7,2021,5,14,5,-0.011111086736708058
vnm,2021-05-17,81506.9,2021,5,17,5,-0.026033840622099274
vnm,2021-05-18,81319.9,2021,5,18,5,-0.0022969201902291736
vnm,2021-05-19,81787.3,2021,5,19,5,0.005731215781811125
vnm,2021-05-20,82254.6,2021,5,20,5,0.005697340301881599
vnm,2021-05-21,83376.3,2021,5,21,5,0.013544781184834995
vnm,2021-05-24,85245.7,2021,5,24,5,0.022173578690665864
vnm,2021-05-25,84591.4,2021,5,25,5,-0.007705068410156746
vnm,2021-05-26,85058.8,2021,5,26,5,0.005510175438645133
vnm,2021-05-27,84591.4,2021,5,27,5,-0.005510175438645026
vnm,2021-05-28,85152.2,2021,5,28,5,0.006607636934957477
vnm,2021-05-31,84591.4,2021,5,31,5,-0.006607636934957436
vnm,2021-06-01,84030.6,2021,6,1,5,-0.0066515883769695475
vnm,2021-06-02,83563.2,2021,6,2,5,-0.005577786431242139
vnm,2021-06-03,84311.0,2021,6,3,5,0.00890911106302375
vnm,2021-06-04,83656.7,2021,6,4,5,-0.007790822991520115
vnm,2021-06-07,83563.2,2021,6,7,5,-0.0011182880715036015
vnm,2021-06-08,83843.6,2021,6,8,5,0.0033499267917541757
vnm,2021-06-09,83282.8,2021,6,9,5,-0.006711113322885954
vnm,2021-06-10,86180.4,2021,6,10,5,0.034200728365757986
vnm,2021-06-11,85993.5,2021,6,11,5,-0.0021710616233109148
vnm,2021-06-14,86460.8,2021,6,14,5,0.005419420028617645
vnm,2021-06-15,86834.7,2021,6,15,5,0.004315179334628545
vnm,2021-06-16,85806.5,2021,6,16,5,-0.011911550164773457
vnm,2021-06-17,85058.8,2021,6,17,5,-0.008751979162931118
vnm,2021-06-18,86087.0,2021,6,18,5,0.012015630772526003
vnm,2021-06-21,84684.9,2021,6,21,5,-0.016421103314088425
vnm,2021-06-22,84684.9,2021,6,22,5,0.0
vnm,2021-06-23,84124.1,2021,6,23,5,-0.006644219953583784
vnm,2021-06-24,82908.9,2021,6,24,5,-0.014550674900405746
vnm,2021-06-25,83843.6,2021,6,25,5,0.011210743940449422
vnm,2021-06-28,83376.3,2021,6,28,5,-0.005589062264051592
vnm,2021-06-29,85058.8,2021,6,29,5,0.019978685719154055
vnm,2021-06-30,84497.9,2021,6,30,5,-0.006616100053978464
vnm,2021-07-01,84965.3,2021,7,1,5,0.00551625586218165
vnm,2021-07-02,84217.5,2021,7,2,5,-0.008840199712819536
vnm,2021-07-05,83376.3,2021,7,5,5,-0.01003864181453761
vnm,2021-07-06,81319.9,2021,7,6,5,-0.02497333726852748
vnm,2021-07-07,83937.1,2021,7,7,5,0.03167694977201646
vnm,2021-07-08,82628.5,2021,7,8,5,-0.015713051486414966
vnm,2021-07-09,81319.9,2021,7,9,5,-0.01596389828560143
vnm,2021-07-12,80665.6,2021,7,12,5,-0.008078544788946786
vnm,2021-07-13,78796.2,2021,7,13,5,-0.02344744190985791
vnm,2021-07-14,79450.5,2021,7,14,5,0.00826941387833125
vnm,2021-07-15,79637.4,2021,7,15,5,0.0023496455228459
vnm,2021-07-16,80291.7,2021,7,16,5,0.008182421467448788
vnm,2021-07-19,79450.5,2021,7,19,5,-0.010532066990294651
vnm,2021-07-20,80291.7,2021,7,20,5,0.010532066990294726
vnm,2021-07-21,79730.9,2021,7,21,5,-0.007009038671399818
vnm,2021-07-22,81133.0,2021,7,22,5,0.017432568865420363
vnm,2021-07-23,81880.7,2021,7,23,5,0.00917352643934123
vnm,2021-07-26,83095.9,2021,7,26,5,0.014732052644641242
vnm,2021-07-27,81787.3,2021,7,27,5,-0.0158733876660127
vnm,2021-07-28,81226.4,2021,7,28,5,-0.006881657352150053
