name,date,price,year,month,day,stock_id,log_return
vcb,2021-02-24,75948,2021,2,24,3,-0.01918333292588531
vcb,2021-02-25,76025,2021,2,25,3,0.0010133379822597805
vcb,2021-02-26,76025,2021,2,26,3,0.0
vcb,2021-03-01,76800,2021,3,1,3,0.010142406590198166
vcb,2021-03-02,76877,2021,3,2,3,0.00100210189480101
vcb,2021-03-03,76180,2021,3,3,3,-0.009107780997969486
vcb,2021-03-04,75329,2021,3,4,3,-0.011233774224636454
vcb,2021-03-05,74632,2021,3,5,3,-0.009295817167161621
vcb,2021-03-08,73703,2021,3,8,3,-0.012525865728724378
vcb,2021-03-09,73548,2021,3,9,3,-0.002105249638340549
vcb,2021-03-10,73935,2021,3,10,3,0.0052480745338558
vcb,2021-03-11,74555,2021,3,11,3,0.008350779217419889
vcb,2021-03-12,74167,2021,3,12,3,-0.005217800732762731
vcb,2021-03-15,74555,2021,3,15,3,0.005217800732762677
vcb,2021-03-16,74090,2021,3,16,3,-0.006256537614305149
vcb,2021-03-17,74013,2021,3,17,3,-0.0010398169778846674
vcb,2021-03-18,75484,2021,3,18,3,0.019679959816168418
vcb,2021-03-19,72929,2021,3,19,3,-0.034434348143132516
vcb,2021-03-22,75096,2021,3,22,3,0.029280929910974068
vcb,2021-03-23,74167,2021,3,23,3,-0.012447987724582764
vcb,2021-03-24,73316,2021,3,24,3,-0.011540441200506556
vcb,2021-03-25,73626,2021,3,25,3,0.004219358112864319
vcb,2021-03-26,73471,2021,3,26,3,-0.0021074536852223567
vcb,2021-03-29,73780,2021,3,29,3,0.004196921631286058
vcb,2021-03-30,73393,2021,3,30,3,-0.00525912894327346
vcb,2021-03-31,73393,2021,3,31,3,0.0
vcb,2021-04-01,75019,2021,4,1,3,0.02191285156091722
vcb,2021-04-02,75716,2021,4,2,3,0.009248083957799675
vcb,2021-04-05,78967,2021,4,5,3,0.04204054493412355
vcb,2021-04-06,78890,2021,4,6,3,-0.0009755665710983638
vcb,2021-04-07,78890,2021,4,7,3,0.0
vcb,2021-04-08,77419,2021,4,8,3,-0.018822248599944344
vcb,2021-04-09,75484,2021,4,9,3,-0.025311515240204693
vcb,2021-04-12,76567,2021,4,12,3,0.014245461255188361
vcb,2021-04-13,75484,2021,4,13,3,-0.014245461255188354
vcb,2021-04-14,76413,2021,4,14,3,0.012232125498616419
vcb,2021-04-15,75484,2021,4,15,3,-0.012232125498616518
vcb,2021-04-16,74555,2021,4,16,3,-0.012383605223978538
vcb,2021-04-19,76258,2021,4,19,3,0.02258521997392538
vcb,2021-04-20,79742,2021,4,20,3,0.04467409513680059
vcb,2021-04-22,79742,2021,4,22,3,0.0
vcb,2021-04-23,80516,2021,4,23,3,0.009659499285188779
vcb,2021-04-26,76335,2021,4,26,3,-0.05332437372987966
vcb,2021-04-27,76645,2021,4,27,3,0.004052822909164957
vcb,2021-04-28,76645,2021,4,28,3,0.0
vcb,2021-04-29,77419,2021,4,29,3,0.010047856888983077
vcb,2021-05-04,76722,2021,5,4,3,-0.00904372944996772
vcb,2021-05-05,78348,2021,5,5,3,0.02097194293541061
vcb,2021-05-06,76877,2021,5,6,3,-0.01895369994406923
vcb,2021-05-07,75096,2021,5,7,3,-0.023439447013736837
vcb,2021-05-10,75948,2021,5,10,3,0.011281600546477859
vcb,2021-05-11,75793,2021,5,11,3,-0.002042955482168456
vcb,2021-05-12,75329,2021,5,12,3,-0.006140753273178549
vcb,2021-05-13,74942,2021,5,13,3,-0.005150705799318715
vcb,2021-05-14,75019,2021,5,14,3,0.0010269337596703779
vcb,2021-05-17,74322,2021,5,17,3,-0.009334409986055465
vcb,2021-05-18,73238,2021,5,18,3,-0.01469259284891408
vcb,2021-05-19,72851,2021,5,19,3,-0.005298152568237725
vcb,2021-05-20,76645,2021,5,20,3,0.05076811223510463
vcb,2021-05-21,74942,2021,5,21,3,-0.02246989059156786
vcb,2021-05-24,75406,2021,5,24,3,0.006172366418254622
vcb,2021-05-25,77264,2021,5,25,3,0.024341281686428545
vcb,2021-05-26,77729,2021,5,26,3,0.006000288982515816
vcb,2021-05-27,76413,2021,5,27,3,-0.01707557934823622
vcb,2021-05-28,77109,2021,5,28,3,0.00906716650873443
vcb,2021-05-31,76335,2021,5,31,3,-0.010088456565294364
vcb,2021-06-01,80284,2021,6,1,3,0.050438799588341014
vcb,2021-06-02,82064,2021,6,2,3,0.021929082349665927
vcb,2021-06-03,82606,2021,6,3,3,0.006582886467100659
vcb,2021-06-04,81213,2021,6,4,3,-0.0170069842386142
vcb,2021-06-07,79742,2021,6,7,3,-0.01827890972180256
vcb,2021-06-08,77419,2021,6,8,3,-0.02956419464654264
vcb,2021-06-09,78967,2021,6,9,3,0.01979781517104265
vcb,2021-06-10,78813,2021,6,10,3,-0.0019520858017897436
vcb,2021-06-11,79587,2021,6,11,3,0.009772805053510596
vcb,2021-06-14,78967,2021,6,14,3,-0.007820719251720917
vcb,2021-06-15,79587,2021,6,15,3,0.007820719251720839
vcb,2021-06-16,80516,2021,6,16,3,0.011605159508967905
vcb,2021-06-17,80671,2021,6,17,3,0.0019232326152416159
vcb,2021-06-18,84000,2021,6,18,3,0.04043764378928664
vcb,2021-06-21,82529,2021,6,21,3,-0.017667052118139796
vcb,2021-06-22,83303,2021,6,22,3,0.009334816204882248
